Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-1;1;P; Studio Consulting Sp. z o.o.;ul. Romanowska 55F, 91-174 Łódź;964
10;106101-2;2;P;Świetlica Ochotniczej Straży Pożarnej Łódź-Mikołajew;ul. Plonowa 18, 91-156 Łódź;1940
10;106101-3;3;P;Świetlica Ochotniczej Straży Pożarnej Łódź-Mikołajew;ul. Plonowa 18, 91-156 Łódź;553
10;106101-4;4;P;XV Liceum Ogólnokształcące im. Jana Kasprowicza;ul. Traktorowa 77, 91-204 Łódź;1016
10;106101-5;5;P;Laboratorium Produkcji Ogrodniczej w Zespole Szkół Rzemiosła im. Jana Kilińskiego;ul. Liściasta 181, 91-220 Łódź;865
10;106101-6;6;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;871
10;106101-7;7;P;Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza;ul. Rojna 58C, 91-134 Łódź;1184
10;106101-8;8;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1275
10;106101-9;9;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1156
10;106101-10;10;P;Szkoła Podstawowa nr 48 im. Stanisława Moniuszki;ul. Rydzowa 15, 91-211 Łódź;1791
10;106101-11;11;P;Publiczne Gimnazjum nr 13 im. gen. Józefa Bema;ul. Wici 16, 91-213 Łódź;1820
10;106101-12;12;P;Publiczne Gimnazjum nr 13 im. gen. Józefa Bema;ul. Wici 16, 91-213 Łódź;1410
10;106101-13;13;P;Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza;ul. Rojna 58C, 91-134 Łódź;1675
10;106101-14;14;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1572
10;106101-15;15;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1159
10;106101-16;16;P;Publiczne Gimnazjum nr 7 im. Mikołaja Kopernika;ul. Rojna 33, 91-134 Łódź;1223
10;106101-17;17;P;"Szkoła Podstawowa nr 3 im. mjr. Henryka Dobrzańskiego ""Hubala""";al. Harcerzy Zatorowców 6, 91-144 Łódź;1400
10;106101-18;18;P;"Szkoła Podstawowa nr 3 im. mjr. Henryka Dobrzańskiego ""Hubala""";al. Harcerzy Zatorowców 6, 91-144 Łódź;1477
10;106101-19;19;P;Przedszkole Miejskie nr 141;al. Pasjonistów 15, 91-140 Łódź;1997
10;106101-20;20;P;Przedszkole Miejskie nr 123;ul. Rojna 24, 91-134 Łódź;1215
10;106101-21;21;P;Dom Dziennego Pobytu dla Osób Niepełnosprawnych;ul. Rojna 18a, 91-128 Łódź;1436
10;106101-22;22;P;Przedszkole Miejskie nr 123;ul. Rojna 24, 91-134 Łódź;927
10;106101-23;23;P;"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki""";ul. Łanowa 16, 91-103 Łódź;1492
10;106101-24;24;P;"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki""";ul. Łanowa 16, 91-103 Łódź;1689
10;106101-25;25;P;"Bałucki Ośrodek Kultury ""Lutnia""";ul. Łanowa 14, 91-103 Łódź;1346
10;106101-26;26;P;Publiczne Gimnazjum nr 17 im. Bohaterów Monte Cassino;ul. Traktorowa 35, 91-117 Łódź;1844
10;106101-27;27;P;Zespół Szkół Specjalnych nr 5;ul. Plantowa 7, 91-104 Łódź;2124
10;106101-28;28;P;Szkoła Policealna nr 2 Samorządu Województwa Łódzkiego im. Marii Skłodowskiej-Curie;ul. Wielkopolska 70/72, 91-029 Łódź;1171
10;106101-29;29;P;Szkoła Policealna nr 2 Samorządu Województwa Łódzkiego im. Marii Skłodowskiej-Curie;ul. Wielkopolska 70/72, 91-029 Łódź;1745
10;106101-30;30;P;Szkoła Podstawowa nr 56 im. Bronisława Czecha;ul. Turoszowska 10, 91-025 Łódź;1523
10;106101-31;31;P;Szkoła Podstawowa nr 56 im. Bronisława Czecha;ul. Turoszowska 10, 91-025 Łódź;867
10;106101-32;32;P;Publiczne Gimnazjum nr 8 im. Tadeusza Kościuszki;ul. Żubardzka 26, 91-032 Łódź;1520
10;106101-33;33;P;Publiczne Gimnazjum nr 8 im. Tadeusza Kościuszki;ul. Żubardzka 26, 91-032 Łódź;1705
10;106101-34;34;P;Szkoła Podstawowa nr 122;ul. Jesionowa 38, 91-363 Łódź;1998
10;106101-35;35;P;Szkoła Podstawowa nr 122;ul. Jesionowa 38, 91-363 Łódź;1050
10;106101-36;36;P;Szkoła Podstawowa nr 122;ul. Jesionowa 38, 91-363 Łódź;1138
10;106101-37;37;P;Szkoła Podstawowa nr 122;ul. Jesionowa 38, 91-363 Łódź;1804
10;106101-38;38;P;Zespół Szkół Ogólnokształcących nr 4 im. Ireny Sendlerowej;ul. Stawowa 28, 91-358 Łódź;1828
10;106101-39;39;P;Zespół Szkół Ogólnokształcących nr 4 im. Ireny Sendlerowej;ul. Stawowa 28, 91-358 Łódź;1238
10;106101-40;40;P;Zespół Szkół Ogólnokształcących nr 4 im. Ireny Sendlerowej;ul. Stawowa 28, 91-358 Łódź;913
10;106101-41;41;P;Przedszkole Miejskie nr 97;ul. Bema 6, 91-492 Łódź;2016
10;106101-42;42;P;Przedszkole Miejskie nr 97;ul. Bema 6, 91-492 Łódź;2242
10;106101-43;43;P;Szkoła Podstawowa nr 206;ul. Łozowa 9, 91-496 Łódź;1062
10;106101-44;44;P;Szkoła Podstawowa nr 206;ul. Łozowa 9, 91-496 Łódź;1607
10;106101-45;45;P;Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego;ul. Syrenki 19A, 91-496 Łódź;1910
10;106101-46;46;P;Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego;ul. Syrenki 19A, 91-496 Łódź;2139
10;106101-47;47;P;Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego;ul. Syrenki 19A, 91-496 Łódź;1856
10;106101-48;48;P;Przedszkole Miejskie nr 204;ul. Sitowie 15, 91-495 Łódź;1652
10;106101-49;49;P;Szkoła Podstawowa nr 206;ul. Łozowa 9, 91-496 Łódź;1282
10;106101-50;50;P;Szkoła Podstawowa nr 206;ul. Łozowa 9, 91-496 Łódź;1475
10;106101-51;51;P;Szkoła Podstawowa nr 166 im. 19 Stycznia;ul. Szamotulska 1/7, 91-037 Łódź;1158
10;106101-52;52;P;Szkoła Podstawowa nr 166 im. 19 Stycznia;ul. Szamotulska 1/7, 91-037 Łódź;2153
10;106101-53;53;P;XXX Liceum Ogólnokształcące im. ks. bp. Ignacego Krasickiego;ul. Obornicka 11/13, 91-039 Łódź;842
10;106101-54;54;P;XXX Liceum Ogólnokształcące im. ks. bp. Ignacego Krasickiego;ul. Obornicka 11/13, 91-039 Łódź;1489
10;106101-55;55;P;Publiczne Gimnazjum nr 6 im. ks. Stanisława Konarskiego;ul. Limanowskiego 124A, 91-041 Łódź;1328
10;106101-56;56;P;Zespół Szkół Ekonomiczno- Turystyczno-Hotelarskich im. Władysława Grabskiego;ul. Drewnowska 171, 91-008 Łódź;917
10;106101-57;57;P;Zespół Państwowych Szkół Plastycznych im. Tadeusza Makowskiego;ul. Gandhiego 14, 91-012 Łódź;1210
10;106101-58;58;P;Szkoła Podstawowa nr 35 im. Mariana Piechala;ul. Tybury 4, 91-013 Łódź;1300
10;106101-59;59;P;Szkoła Podstawowa nr 35 im. Mariana Piechala;ul. Tybury 4, 91-013 Łódź;1342
10;106101-60;60;P;Grupa Szkół Łódzkiego Stowarzyszenia na Rzecz Porozumienia z Europą;ul. Wrześnieńska 64, 91-045 Łódź;1745
10;106101-61;61;P;Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego;ul. Wróbla 5, 91-050 Łódź;1004
10;106101-62;62;P;Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego;ul. Wróbla 5, 91-050 Łódź;1504
10;106101-63;63;P;Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego;ul. Wróbla 5, 91-050 Łódź;1893
10;106101-64;64;P;Zespół Szkół Ponadgimnazjalnych nr 5 im. Króla Bolesława Chrobrego;ul. Drewnowska 88, 91-008 Łódź;482
10;106101-65;65;P;Zespół Szkół Ponadgimnazjalnych nr 7;ul. Prożka 3/5, 91-335 Łódź;743
10;106101-66;66;P;Szkoła Podstawowa nr 24 im. Hanki Sawickiej;ul. Ciesielska 14A, 91-308 Łódź;1782
10;106101-67;67;P;Publiczne Gimnazjum nr 12 im. Noblistów Polskich;ul. Księdza Brzóski 23, 91-315 Łódź;1464
10;106101-68;68;P;Publiczne Gimnazjum nr 12 im. Noblistów Polskich;ul. Księdza Brzóski 23, 91-315 Łódź;1206
10;106101-69;69;P;Szkoła Podstawowa nr 55 im. Eugeniusza Lokajskiego;ul. Mackiewicza 9, 91-349 Łódź;1968
10;106101-70;70;P;Szkoła Podstawowa nr 55 im. Eugeniusza Lokajskiego;ul. Mackiewicza 9, 91-349 Łódź;937
10;106101-71;71;P;Szkoła Podstawowa nr 65 im. Juliusza Słowackiego;ul. Pojezierska 10, 91-322 Łódź;1939
10;106101-72;72;P;Szkoła Podstawowa nr 65 im. Juliusza Słowackiego;ul. Pojezierska 10, 91-322 Łódź;1451
10;106101-73;73;P;Szkoła Podstawowa nr 65 im. Juliusza Słowackiego;ul. Pojezierska 10, 91-322 Łódź;1511
10;106101-74;74;P;Przedszkole Miejskie nr 202;ul. Sędziowska 8/10, 91-304 Łódź;2013
10;106101-75;75;P;Przedszkole Miejskie nr 149;ul. Murarska 42, 91-469 Łódź;1987
10;106101-76;76;P;Szkoła Podstawowa nr 101 im. Jana Kochanowskiego;ul. Wspólna 5/7, 91-464 Łódź;1213
10;106101-77;77;P;Szkoła Podstawowa nr 101 im. Jana Kochanowskiego;ul. Wspólna 5/7, 91-464 Łódź;1403
10;106101-78;78;P;Szkoła Podstawowa nr 101 im. Jana Kochanowskiego;ul. Wspólna 5/7, 91-464 Łódź;1865
10;106101-79;79;P;Przedszkole Miejskie nr 176;ul. Blacharska 21, 91-470 Łódź;1601
10;106101-80;80;P;Urząd Stanu Cywilnego;ul. Zgierska 71, 91-463 Łódź;739
10;106101-81;81;P;Szkoła Podstawowa nr 45 im. Jana Matejki;ul. Bojowników Getta Warszawskiego 3, 91-431 Łódź;1706
10;106101-82;82;P;XIII Liceum Ogólnokształcące im. Marii Piotrowiczowej;ul. Pacanowskiej 4, 91-430 Łódź;1994
10;106101-83;83;P;Szkoła Podstawowa nr 30 im. rtm. Witolda Pileckiego;ul. Rysownicza 1/3, 91-855 Łódź;1091
10;106101-84;84;P;Szkoła Podstawowa nr 30 im. rtm. Witolda Pileckiego;ul. Rysownicza 1/3, 91-855 Łódź;1675
10;106101-85;85;P;Zespół Szkół Przemysłu Spożywczego im. Powstańców Wielkopolskich;ul. Franciszkańska 137, 91-845 Łódź;1791
10;106101-86;86;P;Zespół Szkół Przemysłu Spożywczego im. Powstańców Wielkopolskich;ul. Franciszkańska 137, 91-845 Łódź;1883
10;106101-87;87;P;XXIV Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;ul. Marysińska 61/67, 91-850 Łódź;2120
10;106101-88;88;P;XXIV Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie;ul. Marysińska 61/67, 91-850 Łódź;1150
10;106101-89;89;P;Przedszkole Miejskie nr 35;ul. Zachodnia 16A, 91-058 Łódź;1768
10;106101-90;90;P;Szkoła Podstawowa nr 58 im. Melchiora Wańkowicza;ul. Młynarska 42/46, 91-838 Łódź;1139
10;106101-91;91;P;Szkoła Podstawowa nr 58 im. Melchiora Wańkowicza;ul. Młynarska 42/46, 91-838 Łódź;1072
10;106101-92;92;P;Centrum Zajęć Pozaszkolnych nr 1;ul. Zawiszy Czarnego 39, 91-818 Łódź;1692
10;106101-93;93;P;Centrum Zajęć Pozaszkolnych nr 1;ul. Zawiszy Czarnego 39, 91-818 Łódź;1935
10;106101-94;94;P;Publiczne Gimnazjum nr 14 im. Roberta Schumana;al. I Dywizji 16/18, 91-836 Łódź;1625
10;106101-95;95;P;Zespół Szkół Zawodowych Specjalnych nr 2;al. I Dywizji 16/18, 91-744 Łódź;1119
10;106101-96;96;P;Szkoła Podstawowa nr 153 im. Marii Skłodowskiej-Curie;ul. Obrońców Westerplatte 28, 91-762 Łódź;1628
10;106101-97;97;P;Szkoła Podstawowa nr 45 im. Jana Matejki;ul. Bojowników Getta Warszawskiego 3, 91-705 Łódź;611
10;106101-98;98;P;Publiczne Gimnazjum nr 18 im. prof. Jana Karskiego;ul. Mostowskiego 23/27, 91-705 Łódź;1984
10;106101-99;99;P;Lokal Rady Osiedla Bałuty-Doły;ul. Wojska Polskiego 122, 91-743 Łódź;541
10;106101-100;100;P;Zespół Szkół Specjalnych nr 3 im. Jacka Kuronia;ul. Sucharskiego 2, 91-744 Łódź;2209
10;106101-101;101;P;Szkoła Podstawowa nr 81 im. Bohaterskich Dzieci Łodzi;ul. Plater 28/32, 91-762 Łódź;1296
10;106101-102;102;P;Publiczne Gimnazjum nr 18 im. prof. Jana Karskiego;ul. Mostowskiego 23/27, 91-705 Łódź;1424
10;106101-103;103;P;Publiczne Gimnazjum nr 10 im. Rajmunda Hiacynta Rembielińskiego;ul. Harcerska 8/10, 91-710 Łódź;1400
10;106101-104;104;P;Publiczne Gimnazjum nr 10 im. Rajmunda Hiacynta Rembielińskiego;ul. Harcerska 8/10, 91-710 Łódź;1541
10;106101-105;105;P;Zespół Szkół Ponadgimnazjalnych nr 10 im. Jana Szczepanika;ul. Strykowska 10/18, 91-725 Łódź;1212
10;106101-106;106;P;Szkoła Podstawowa nr 61 im. św. Franciszka z Asyżu;ul. Okólna 183, 91-520 Łódź;541
10;106101-107;107;P;Świetlica Ochotniczej Straży Pożarnej Łódź-Łagiewniki;ul. Pszczelna 84, 91-511 Łódź;775
10;106101-108;108;P;Szkoła Podstawowa nr 142 im. Zawiszy Czarnego;ul. Łupkowa 6, 91-527 Łódź;1130
10;106101-109;109;P;Publiczne Gimnazjum nr 15 im. Aleksego Rżewskiego;ul. Sowińskiego 50/56, 91-485 Łódź;1765
10;106101-110;110;P;Szkoła Podstawowa nr 172 im. prof. Stefana Banacha;ul. Jaskrowa 15, 91-480 Łódź;1834
10;106101-111;111;P;Specjalny Ośrodek Szkolno-Wychowawczy nr 6 im. mjr. Hieronima Baranowskiego;ul. Dziewanny 24, 91-866 Łódź;1028
10;106101-112;112;P;Przedszkole Miejskie nr 47;ul. Deczyńskiego 24, 91-867 Łódź;1823
10;106101-113;113;P;Zespół Szkół Ponadgimnazjalnych nr 13 im. Sybiraków;ul. Skrzydlata 15, 91-503 Łódź;1766
10;106101-114;114;P;Szkoła Podstawowa nr 142 im. Zawiszy Czarnego;ul. Łupkowa 6, 91-527 Łódź;1777
10;106101-115;115;P;Szkoła Podstawowa nr 10 im. Władysława Broniewskiego;ul. Przybyszewskiego 15/21, 93-188 Łódź;1025
10;106101-116;116;P;Szkoła Podstawowa nr 10 im. Władysława Broniewskiego;ul. Przybyszewskiego 15/21, 93-188 Łódź;1767
10;106101-117;117;P;Abis Sp. z o.o.;ul. Rzgowska 17A, 93-008 Łódź;1579
10;106101-118;118;P;Zespół Szkół Ponadgimnazjalnych nr 22;ul. Przybyszewskiego 73/75, 93-126 Łódź;940
10;106101-119;119;P;Zespół Szkół Ponadgimnazjalnych nr 22;ul. Przybyszewskiego 73/75, 93-126 Łódź;1266
10;106101-120;120;P;Zespół Szkół Ponadgimnazjalnych nr 22;ul. Przybyszewskiego 73/75, 93-126 Łódź;1777
10;106101-121;121;P;Publiczne Gimnazjum nr 40 im. Wandy Rutkiewicz;ul. Kaliska 25/27, 93-130 Łódź;2068
10;106101-122;122;P;Ogólnokształcąca Szkoła Muzyczna I i II stopnia im. Henryka Wieniawskiego;ul. Sosnowa 9, 93-102 Łódź;2043
10;106101-123;123;P;"Ośrodek Kultury ""Górna""";ul. Siedlecka 1, 93-138 Łódź;1918
10;106101-124;124;P;Zespół Szkół Ponadgimnazjalnych nr 9 im. Komisji Edukacji Narodowej;al. Politechniki 38, 93-590 Łódź;2136
10;106101-125;125;P;Szkoła Podstawowa nr 83 im. Stanisława Jachowicza;ul. Podmiejska 21, 93-165 Łódź;831
10;106101-126;126;P;Szkoła Podstawowa nr 83 im. Stanisława Jachowicza;ul. Podmiejska 21, 93-165 Łódź;1493
10;106101-127;127;P;VI Liceum Ogólnokształcące im. Joachima Lelewela;ul. Podmiejska 21, 93-165 Łódź;2001
10;106101-128;128;P;Publiczne Gimnazjum nr 46 im. rtm. Witolda Pileckiego;ul. Krochmalna 15, 93-144 Łódź;1508
10;106101-129;129;P;Publiczne Gimnazjum nr 46 im. rtm. Witolda Pileckiego;ul. Krochmalna 15, 93-144 Łódź;1472
10;106101-130;130;P;Szkoła Podstawowa nr 38 im. dr. Henryka Jordana;ul. Krochmalna 21, 93-144 Łódź;1088
10;106101-131;131;P;Szkoła Podstawowa nr 38 im. dr. Henryka Jordana;ul. Krochmalna 21, 93-144 Łódź;1580
10;106101-132;132;P;Zespół Szkół Przemysłu Mody im. bł. Matki Teresy z Kalkuty;ul. Naruszewicza 35, 93-161 Łódź;1779
10;106101-133;133;P;Szkoła Podstawowa nr 190 im. Jarosława Iwaszkiewicza;ul. Malczewskiego 37/47, 93-154 Łódź;1566
10;106101-134;134;P;Szkoła Podstawowa nr 190 im. Jarosława Iwaszkiewicza;ul. Malczewskiego 37/47, 93-154 Łódź;1163
10;106101-135;135;P;Szkoła Podstawowa nr 174 im. Jana Machulskiego;ul. Gałczyńskiego 6, 93-259 Łódź;2017
10;106101-136;136;P;XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa;ul. Kruczkowskiego 4, 93-236 Łódź;2029
10;106101-137;137;P;XXXI Liceum Ogólnokształcące im. Ludwika Zamenhofa;ul. Kruczkowskiego 4, 93-236 Łódź;1772
10;106101-138;138;P;Publiczne Gimnazjum nr 44 im. Wisławy Szymborskiej;ul. Deotymy 1, 93-267 Łódź;1601
10;106101-139;139;P;Publiczne Gimnazjum nr 44 im. Wisławy Szymborskiej;ul. Deotymy 1, 93-267 Łódź;2222
10;106101-140;140;P;Przedszkole Miejskie nr 119;ul. Rydla 17, 93-203 Łódź;2000
10;106101-141;141;P;Szkoła Podstawowa nr 64 im. Hansa Christiana Andersena;ul. Anczyca 6, 93-262 Łódź;1100
10;106101-142;142;P;Szkoła Podstawowa nr 64 im. Hansa Christiana Andersena;ul. Anczyca 6, 93-262 Łódź;1652
10;106101-143;143;P;Szkoła Podstawowa nr 64 im. Hansa Christiana Andersena;ul. Anczyca 6, 93-262 Łódź;1822
10;106101-144;144;P;Miejska Biblioteka Publiczna Łódź-Górna im. Władysława Stanisława Reymonta Filia Nr 10;ul. Kadłubka 40, 93-248 Łódź;1484
10;106101-145;145;P;Przedszkole Miejskie nr 117;ul. Kadłubka 38, 93-248 Łódź;2086
10;106101-146;146;P;"Fundacja Pomocy Dzieciom ""Jaś i Małgosia""";ul. Tatrzańska 105, 93-279 Łódź;1625
10;106101-147;147;P;"Fundacja Pomocy Dzieciom ""Jaś i Małgosia""";ul. Tatrzańska 105, 93-279 Łódź;2004
10;106101-148;148;P;Szkoła Podstawowa nr 189 im. Wandy Zieleńczyk;ul. Kossaka 19, 93-213 Łódź;2033
10;106101-149;149;P;XXV Liceum Ogólnokształcące im. Stefana Żeromskiego;ul. Podhalańska 2A, 93-224 Łódź;2062
10;106101-150;150;P;XXV Liceum Ogólnokształcące im. Stefana Żeromskiego;ul. Podhalańska 2A, 93-224 Łódź;1633
10;106101-151;151;P;"Dom Ludowy ""Józefów""";ul. Józefów 43, 93-615 Łódź;958
10;106101-152;152;P;"Klub Osiedlowy Nr 1 Spółdzielni Mieszkaniowej ""Chojny""";ul. Skupiona 3, 93-323 Łódź;1993
10;106101-153;153;P;Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego;ul. Powszechna 15, 93-321 Łódź;1701
10;106101-154;154;P;Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego;ul. Powszechna 15, 93-321 Łódź;1886
10;106101-155;155;P;Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego;ul. Powszechna 15, 93-321 Łódź;2117
10;106101-156;156;P;Szkoła Podstawowa nr 110 im. Partyzantów Ziemi Łódzkiej;ul. Zamknięta 3, 93-323 Łódź;1838
10;106101-157;157;P;Szkoła Podstawowa nr 110 im. Partyzantów Ziemi Łódzkiej;ul. Zamknięta 3, 93-323 Łódź;1616
10;106101-158;158;P;Lokal Rady Osiedla Chojny;ul. Rzgowska 151, 93-303 Łódź;2434
10;106101-159;159;P;Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej;ul. Pryncypalna 74, 93-379 Łódź;2044
10;106101-160;160;P;Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej;ul. Pryncypalna 74, 93-379 Łódź;2356
10;106101-161;161;P;Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej;ul. Pryncypalna 74, 93-379 Łódź;1441
10;106101-162;162;P;Zespół Szkół Ogólnokształcących nr 5 im. Juliana Tuwima;ul. Królewska 13/15, 93-319 Łódź;1745
10;106101-163;163;P;Zespół Szkół Ogólnokształcących nr 5 im. Juliana Tuwima;ul. Królewska 13/15, 93-319 Łódź;1105
10;106101-164;164;P;Zespół Szkół Ogólnokształcących nr 5 im. Juliana Tuwima;ul. Królewska 13/15, 93-319 Łódź;1435
10;106101-165;165;P;"Klub Osiedlowy Nr 2 Spółdzielni Mieszkaniowej ""Chojny""";ul. Gościnna 8, 93-356 Łódź;1242
10;106101-166;166;P;Zakład Hoteli i Budynków Mieszkalnych przy Instytucie Centrum Zdrowia Matki Polki w Łodzi;ul. Paradna 46, 93-345 Łódź;1368
10;106101-167;167;P;Zakład Hoteli i Budynków Mieszkalnych przy Instytucie Centrum Zdrowia Matki Polki w Łodzi;ul. Paradna 46, 93-345 Łódź;1117
10;106101-168;168;P;Krajowe Towarzystwo Autyzmu Oddział w Łodzi;ul. Chocianowicka 198, 93-460 Łódź;898
10;106101-169;169;P;Centrum Zajęć Pozaszkolnych nr 2;ul. Sopocka 3/5, 93-490 Łódź;1239
10;106101-170;170;P;Publiczne Gimnazjum nr 38 im. Kardynała Stefana Wyszyńskiego;ul. Dubois 7/9, 93-491 Łódź;2218
10;106101-171;171;P;Szkoła Podstawowa nr 138 im. Leopolda Staffa;ul. Świętego Franciszka 53, 93-479 Łódź;1512
10;106101-172;172;P;Szkoła Podstawowa nr 138 im. Leopolda Staffa;ul. Świętego Franciszka 53, 93-479 Łódź;1538
10;106101-173;173;P;Zespół Szkół Techniczno-Informatycznych im. Jana Nowaka Jeziorańskiego;al. Politechniki 37, 93-502 Łódź;1440
10;106101-174;174;P;Szkoła Podstawowa nr 42 im. Stanisława Staszica;ul. Przyszkole 42, 93-552 Łódź;1102
10;106101-175;175;P;Szkoła Podstawowa nr 42 im. Stanisława Staszica;ul. Przyszkole 42, 93-552 Łódź;1649
10;106101-176;176;P;XX Liceum Ogólnokształcące im. Juliusza Słowackiego;ul. Obywatelska 57, 93-562 Łódź;2073
10;106101-177;177;P;XX Liceum Ogólnokształcące im. Juliusza Słowackiego;ul. Obywatelska 57, 93-562 Łódź;910
10;106101-178;178;P;XX Liceum Ogólnokształcące im. Juliusza Słowackiego;ul. Obywatelska 57, 93-562 Łódź;512
10;106101-179;179;P;Zespół Szkół Techniczno-Informatycznych im. Jana Nowaka Jeziorańskiego;al. Politechniki 37, 93-502 Łódź;1040
10;106101-180;180;P;Szkoła Podstawowa nr 7 im. Orląt Lwowskich;ul. Wiosenna 1, 93-535 Łódź;2051
10;106101-181;181;P;Szkoła Podstawowa nr 7 im. Orląt Lwowskich;ul. Wiosenna 1, 93-535 Łódź;1798
10;106101-182;182;P;Zespół Szkół Ponadgimnazjalnych nr 2 im. Natalii Gąsiorowskiej;ul. Astronautów 19, 93-533 Łódź;1249
10;106101-183;183;P;Publiczne Gimnazjum nr 37;ul. Jarosławska 29, 93-524 Łódź;1742
10;106101-184;184;P;Publiczne Gimnazjum nr 37;ul. Jarosławska 29, 93-524 Łódź;832
10;106101-185;185;P;Szkoła Podstawowa nr 51 im. Stefana Linkego;ul. Ciołkowskiego 11A, 93-510 Łódź;1720
10;106101-186;186;P;IX Liceum Ogólnokształcące im. Jarosława Dąbrowskiego;ul. Paderewskiego 24, 93-025 Łódź;1413
10;106101-187;187;P;Szkoła Podstawowa nr 113 im. Adolfa Dygasińskiego;ul. Unicka 6, 93-009 Łódź;2012
10;106101-188;188;P;Szkoła Podstawowa nr 113 im. Adolfa Dygasińskiego;ul. Unicka 6, 93-009 Łódź;1814
10;106101-189;189;P;Szkoła Podstawowa nr 113 im. Adolfa Dygasińskiego;ul. Unicka 6, 93-009 Łódź;1429
10;106101-190;190;P;Lokal Rady Osiedla Piastów-Kurak;ul. Ciołkowskiego 11, 93-510 Łódź;1991
10;106101-191;191;P;Dom Pomocy Społecznej w Łodzi;ul. Rudzka 56, 93-423 Łódź;2294
10;106101-192;192;P;Szkoła Podstawowa nr 125 im. Janusza Korczaka;ul. Dzwonowa 18/20, 93-429 Łódź;1867
10;106101-193;193;P;Centrum Zajęć Pozaszkolnych nr 2;ul. Zjednoczenia 1, 93-402 Łódź;1501
10;106101-194;194;P;Szkoła Podstawowa nr 143;ul. Kuźnicka 12, 94-459 Łódź;1932
10;106101-195;195;P;Szkoła Podstawowa nr 125 im. Janusza Korczaka;ul. Dzwonowa 18/20, 93-429 Łódź;1674
10;106101-196;196;P;Ochotnicza Straż Pożarna Łódź-Jędrzejów;ul. Tomaszowska 85, 93-635 Łódź;799
10;106101-197;197;P;Szkoła Podstawowa nr 130 im. Marszałka Józefa Piłsudskiego;ul. Gościniec 1, 9-645 Łódź;1850
10;106101-198;198;P;Zespół Szkół Ogólnokształcących nr 7 im. Włodzimierza Puchalskiego;ul. Minerska 1/3, 94-304 Łódź;1685
10;106101-199;199;P;XVIII Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego;ul. Perla 11, 94-203 Łódź;906
10;106101-200;200;P;XVIII Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego;ul. Perla 11, 94-203 Łódź;1511
10;106101-201;201;P;Szkoła Podstawowa nr 91 im. Leonida Teligi;ul. Kasprzaka 45, 91-078 Łódź;1612
