Nr Komisji Okręgowej[1-51];Kod Komisji Obwodowej;Numer obwodu;Typ Obwodu;Nazwa lokalu;Adres lokalu;Uprawnionych do głosowania
10;106101-285;285;P;Związek Młodzieży Chrześcijańskiej Polska YMCA Ognisko w Łodzi;ul. Moniuszki 4a, 90-111 Łódź;1112
10;106101-286;286;P;Uniwersytet Łódzki Wydział Filologiczny;ul. Sienkiewicza 21, 90-114 Łódź;1342
10;106101-287;287;P;Publiczne Gimnazjum nr 2 im. Królowej Jadwigi;ul. Jaracza 26, 90-262 Łódź;1613
10;106101-288;288;P;Przedszkole Miejskie nr 100;ul. Piotrkowska 44, 90-265 Łódź;950
10;106101-289;289;P;Ośrodek Szkolenia Kierowców Krzysztof Kołodziejczak;ul. Więckowskiego 13, 90-721 Łódź;1813
10;106101-290;290;P;Szkoła Podstawowa nr 23 im. Marii Bohuszewiczówny;ul. Gdańska 16, 90-707 Łódź;1507
10;106101-291;291;P;Szkoła Podstawowa nr 23 im. Marii Bohuszewiczówny;ul. Gdańska 16, 90-707 Łódź;898
10;106101-292;292;P;IV Liceum Ogólnokształcące im. Emilii Sczanieckiej;ul. Pomorska 16, 91-416 Łódź;815
10;106101-293;293;P;IV Liceum Ogólnokształcące im. Emilii Sczanieckiej;ul. Pomorska 16, 91-416 Łódź;2143
10;106101-294;294;P;Szkoła Podstawowa nr 175 im. Henryka Ryla;ul. Pomorska 27, 90-202 Łódź;1138
10;106101-295;295;P;Szkoła Podstawowa nr 70 im. Stanisława Wyspiańskiego;ul. Rewolucji 1905 r. nr 22, 90-207 Łódź;2005
10;106101-296;296;P;Publiczne Gimnazjum nr 2 im. Królowej Jadwigi;ul. Jaracza 26, 90-262 Łódź;1543
10;106101-297;297;P;Lokal Rady Osiedla Śródmieście-Wschód;ul. Jaracza 42, 90-252 Łódź;1336
10;106101-298;298;P;Szkoła Podstawowa z Oddziałami Integracyjnymi nr 111;ul. Jaracza 44/46, 90-252 Łódź;1583
10;106101-299;299;P;Akademia Humanistyczno- Ekonomiczna w Łodzi;ul. Pomorska 51, 90-204 Łódź;1628
10;106101-300;300;P;Szkoła Podstawowa nr 1 im. Adama Mickiewicza;ul. Sterlinga 24, 90-212 Łódź;894
10;106101-301;301;P;Polsko-Amerykański Ośrodek Kształcenia Zawodowego;ul. Kamińskiego 17/19, 90-229 Łódź;1120
10;106101-302;302;P;Publiczne Gimnazjum nr 3 im. Fryderyka Chopina;ul. Zacisze 7/9, 90-228 Łódź;1385
10;106101-303;303;P;VIII Liceum Ogólnokształcące im. Adama Asnyka;ul. Pomorska 105, 91-402 Łódź;2156
10;106101-304;304;P;MPK - Łódź Sp. z o.o.;ul. Tramwajowa 8, 90-132 Łódź;1833
10;106101-305;305;P;"XXIX Liceum Ogólnokształcące im. Hm. Janka Bytnara ""Rudego""";ul. Zelwerowicza 38/44, 90-148 Łódź;1739
10;106101-306;306;P;Bursa Samorządu Województwa Łódzkiego w Łodzi;ul. Narutowicza 122, 92-145 Łódź;1082
10;106101-307;307;P;Uniwersytet Łódzki Wydział Chemii;ul. Tamka 12, 92-403 Łódź;1627
10;106101-308;308;P;Szkoła Podstawowa nr 79 im. Łódzkich Olimpijczyków;ul. Pomorska 138, 92-404 Łódź;582
10;106101-309;309;P;Zespół Szkół Ogólnokształcących nr 8 im. Stanisława Staszica;ul. Czernika 1/3, 92-538 Łódź;1265
10;106101-310;310;P;Zespół Szkół Ogólnokształcących nr 8 im. Stanisława Staszica;ul. Czernika 1/3, 92-538 Łódź;1398
10;106101-311;311;P;Zespół Szkół Ogólnokształcących nr 8 im. Stanisława Staszica;ul. Czernika 1/3, 92-538 Łódź;1787
10;106101-312;312;P;Zespół Szkół Ogólnokształcących nr 8 im. Stanisława Staszica;ul. Czernika 1/3, 92-538 Łódź;1219
10;106101-313;313;P;Zespół Szkół Ogólnokształcących nr 8 im. Stanisława Staszica;ul. Czernika 1/3, 92-538 Łódź;1274
10;106101-314;314;P;Szkoła Podstawowa nr 199 im. Juliana Tuwima;ul. Elsnera 8, 92-504 Łódź;1504
10;106101-315;315;P;Szkoła Podstawowa nr 199 im. Juliana Tuwima;ul. Elsnera 8, 92-504 Łódź;1637
10;106101-316;316;P;Szkoła Podstawowa nr 199 im. Juliana Tuwima;ul. Elsnera 8, 92-504 Łódź;863
10;106101-317;317;P;Szkoła Podstawowa nr 199 im. Juliana Tuwima;ul. Elsnera 8, 92-504 Łódź;737
10;106101-318;318;P;Szkoła Podstawowa nr 199 im. Juliana Tuwima;ul. Elsnera 8, 92-504 Łódź;1355
